,Filial ,Código,Descrição,Embalagem,Estoque,Comprador ,Quant.,Validade,Preço c/ST,Status,UF,Custo Médio,Custo Total,Classe,MULTIPLO,VENDAS
,3B,87218,MARGARINA CREMOSA C/SAL 1KG RF CLAYBOM,UN,#ERROR!,#ERROR!,"9,00",18/03/2026,#ERROR!,34,"CUIABÁ, VARZEA e INTERIOR"," 8,9001"," R$  80,10 ",ATENÇÃO,,0
,3B,106441,"LINGUICA CALABRESA CURVA 2,5KG EXCELENCI",KG,#ERROR!,#ERROR!,"25,00",18/03/2026,#ERROR!,34,"CUIABÁ, VARZEA e INTERIOR"," 15,281347"," R$  382,03 ",ATENÇÃO,,0
,3B,98461,"APRESUNTADO RETANG +-3,5KG RF REZENDE",KG,#ERROR!,#ERROR!,"3,18",19/03/2026,#ERROR!,35,"CUIABÁ, VARZEA e INTERIOR"," 12,315336"," R$  39,16 ",ATENÇÃO,,0
,3B,895,"PEITO PERU DEF +-2,4KG RF SEARA",KG,#ERROR!,#ERROR!,"42,68",19/03/2026,#ERROR!,35,"CUIABÁ, VARZEA e INTERIOR"," 34,655832"," R$  1.479,11 ",ATENÇÃO,,0
,3B,1942,LINGUICA P/CHURRASCO 5KG CG REZENDE,KG,#ERROR!,#ERROR!,"40,00",19/03/2026,#ERROR!,35,"CUIABÁ, VARZEA e INTERIOR"," 11,891608"," R$  475,66 ",ATENÇÃO,,0
,3B,120685,ALHO FRITO 500G NUANCE,PT,#ERROR!,#ERROR!,"68,00",19/03/2026,#ERROR!,35,"CUIABÁ, VARZEA e INTERIOR"," 12,818128"," R$  871,63 ",ATENÇÃO,,0
,3B,137165,SUINO KIT FEIJOADA 1KG SAUDALI,KG,#ERROR!,#ERROR!,"20,00",19/03/2026,#ERROR!,35,"CUIABÁ, VARZEA e INTERIOR"," 15,66038"," R$  313,21 ",ATENÇÃO,,0
,3B,136062,MELHORADOR P/PANIFICACAO 500G STAR BAKE,UN,#ERROR!,#ERROR!,"40,00",20/03/2026,#ERROR!,36,"CUIABÁ, VARZEA e INTERIOR"," 5,799578"," R$  231,98 ",ATENÇÃO,,0
,3B,11449,MOLHO CAESAR SALADA SACHE 180X18G JUNIOR,CX,#ERROR!,#ERROR!,"2,00",21/03/2026,#ERROR!,37,"CUIABÁ, VARZEA e INTERIOR"," 66,269945"," R$  132,54 ",ATENÇÃO,,0
,3B,4384,BACON FAT DEF 750G SADIA,KG,#ERROR!,#ERROR!,"2,25",22/03/2026,#ERROR!,38,"CUIABÁ, VARZEA e INTERIOR"," 25,406384"," R$  57,16 ",ATENÇÃO,,0
,3B,157964,"CHEDDAR CREMOSO 1,5KG RF CHEF E CO",UN,#ERROR!,#ERROR!,"16,00",22/03/2026,#ERROR!,38,"CUIABÁ, VARZEA e INTERIOR"," 33,825664"," R$  541,21 ",ATENÇÃO,,0
,3B,123471,ALHO TRITURADO S/SAL 2KG COOPER FOODS,BD,#ERROR!,#ERROR!,"30,00",22/03/2026,#ERROR!,38,"CUIABÁ, VARZEA e INTERIOR"," 18,55656"," R$  556,70 ",ATENÇÃO,,0
,3B,132781,COGUMELO SECO FUNGHI 500G NUANCE,PT,#ERROR!,#ERROR!,"77,00",23/03/2026,#ERROR!,39,"CUIABÁ, VARZEA e INTERIOR"," 34,995909"," R$  2.694,68 ",ATENÇÃO,,0
,3B,92164,"MOLHO CAESAR POUCH 1,1KG JUNIOR",UN,#ERROR!,#ERROR!,"26,00",23/03/2026,#ERROR!,39,"CUIABÁ, VARZEA e INTERIOR"," 20,698597"," R$  538,16 ",ATENÇÃO,,0
,3B,154200,"BATATA 10MM 2,5KG CG RAPIPAP LAMB WEST I",KG,#ERROR!,#ERROR!,"3225,00",23/03/2026,#ERROR!,39,"CUIABÁ, VARZEA e INTERIOR"," 7,879513"," R$  25.411,43 ",ATENÇÃO,,0
,3B,106688,BACON MANTA +-18K DALIA,KG,#ERROR!,#ERROR!,"7,07",25/03/2026,#ERROR!,41,"CUIABÁ, VARZEA e INTERIOR"," 19,4184"," R$  137,27 ",ATENÇÃO,,0
,3B,106715,LINGUICA TOSCANA 5KG EXCELENCIA,KG,#ERROR!,#ERROR!,"50,00",25/03/2026,#ERROR!,41,"CUIABÁ, VARZEA e INTERIOR"," 13,27566"," R$  663,78 ",ATENÇÃO,,#ERROR!
,3B,159606,"MAIONESE ALHONESE 1,1KG JUNIOR",UN,#ERROR!,#ERROR!,"2,00",25/03/2026,#ERROR!,41,"CUIABÁ, VARZEA e INTERIOR"," 24,502603"," R$  49,01 ",ATENÇÃO,,0
,3B,92130,"MOLHO CHIPOTLE POUCH 1,1KG JUNIOR",UN,#ERROR!,#ERROR!,"3,00",26/03/2026,#ERROR!,42,"CUIABÁ, VARZEA e INTERIOR"," 26,3111"," R$  78,93 ",ATENÇÃO,,0
,3B,115917,"MAIONESE TEMP POUCH 1,1KG JUNIOR",UN,#ERROR!,#ERROR!,"10,00",26/03/2026,#ERROR!,42,"CUIABÁ, VARZEA e INTERIOR"," 25,463828"," R$  254,64 ",ATENÇÃO,,0
,3B,88912,FARINHA TRIGO TP1 25KG SUPREMA,#N/A,#ERROR!,#ERROR!,"1,00",27/03/2026,#ERROR!,43,"CUIABÁ, VARZEA e INTERIOR"," 80,165394"," R$  80,17 ",ATENÇÃO,,0
,3B,159009,CREME DE AVELA 350G FRITZ E FRIDA,UN,#ERROR!,#ERROR!,"27,00",27/03/2026,#ERROR!,43,"CUIABÁ, VARZEA e INTERIOR"," 12,452846"," R$  336,23 ",ATENÇÃO,,0
,3B,117747,CHANTILLY SPRAY 250G RF POLENGHI,UN,#ERROR!,#ERROR!,"75,00",27/03/2026,#ERROR!,43,"CUIABÁ, VARZEA e INTERIOR"," 17,553228"," R$  1.316,49 ",ATENÇÃO,,0
,3B,88984,QUEIJO MUSSARELA BUFALA BAR +-4G RF YEMA,KG,#ERROR!,#ERROR!,"44,80",28/03/2026,#ERROR!,44,"CUIABÁ, VARZEA e INTERIOR"," 37,2"," R$  1.666,56 ",ATENÇÃO,,#ERROR!
,3B,10965,FARINHA TRIGO TP1 5KG PASTEL SUPREMA,PT,#ERROR!,#ERROR!,"4,00",28/03/2026,#ERROR!,44,"CUIABÁ, VARZEA e INTERIOR"," 20,250944"," R$  81,00 ",ATENÇÃO,,0
,3B,153727,BV CHARQUE DIANTEIRO 500G TUCHE,UN,#ERROR!,#ERROR!,"29,00",28/03/2026,#ERROR!,44,"CUIABÁ, VARZEA e INTERIOR"," 17,477129"," R$  506,84 ",ATENÇÃO,,0
,3B,156026,"GORDURA VEGETAL 14,5KG SUPREMA",BD,#ERROR!,#ERROR!,"48,00",28/03/2026,#ERROR!,44,"CUIABÁ, VARZEA e INTERIOR"," 147,74092"," R$  7.091,56 ",ATENÇÃO,,0
,3B,4009,"LINGUICA CALABRESA CURVA PCT 2,5KG SEARA",KG,#ERROR!,#ERROR!,"12,50",29/03/2026,#ERROR!,45,"CUIABÁ, VARZEA e INTERIOR"," 15,157791"," R$  189,47 ",ATENÇÃO,,0
